Scene Title
Hero Life 55
Hero Attack 10
Hero Defend 3
Hero MagicPower 3
Hero Fortune 3
Hero Level 1
Hero MoveSpeed 5
Hero Technique 4
Hero Agility 8
Hero Name 无
Hero Status 正常
Hero Money 0
Hero Exp 0
Hero TechniquePoint 0
Hero Accomplishments 无
Hero Items 无
Hero Techniques 无
Hero Weapens 无
Hero CurrentWeapen 无
Hero PositionX 20
Hero PositionY 20
Enemy Life 55
Enemy Attack 10
Enemy Defend 3
Enemy MagicPower 3
Enemy Fortune 3
Enemy Level 1
Enemy MoveSpeed 5
Enemy Technique 4
Enemy Agility 8
Enemy Name 无
Enemy Status 正常
Enemy CurrentWeapen 无
Enemy PositionX 20
Enemy PositionY 20
